wave,varname,source
2001,family_id,ER17002
2003,family_id,ER21002
2005,family_id,ER25002
2007,family_id,ER36002
2009,family_id,ER42002
2011,family_id,ER47302
2013,family_id,ER53002
2015,family_id,ER60002
2017,family_id,ER66002
2019,family_id,ER72002
2021,family_id,ER78002
2001,id_1968,ER17022
2003,id_1968,ER21009
2005,id_1968,ER25009
2007,id_1968,ER36009
2009,id_1968,ER42009
2011,id_1968,ER47309
2013,id_1968,ER53009
2015,id_1968,ER60009
2017,id_1968,ER66009
2019,id_1968,ER72009
2021,id_1968,ER78009
2001,interview_year,ER17011
2003,interview_year,ER21014
2005,interview_year,ER25014
2007,interview_year,ER36014
2009,interview_year,ER42014
2011,interview_year,ER47314
2013,interview_year,ER53014
2015,interview_year,ER60014
2017,interview_year,ER66014
2019,interview_year,ER72014
2021,interview_year,ER78014
